grid,fclass,name,longitude,latitude,fclass
"7,5",mexican restaurant,Chipotle Mexican Grill,2.237639,48.8913475,mexican restaurant
"4,9",memorial,Monuments aux morts pour la France,2.232531,48.893893,memorial
"17,10",memorial,Général de Gaulle,2.250367,48.895127,memorial
"17,2",lounge,Meliá The Place,2.250406891,48.88848136,lounge
"4,7",lounge,Executive Lounge de l'Hôtel Renaissance Paris la Défense,2.232963145,48.89263096,lounge
"14,0",laundry,Séquoia,2.24588,48.885955,laundry
"3,4",laundry,Pressing,2.230825,48.889592,laundry
"16,12",laundry,Milo-Pressing,2.248512,48.89637,laundry
"3,4",laundry,Laverie,2.230722,48.889797,laundry
"4,1",laundry,De Gaulle Pressing,2.231927,48.886636,laundry
"6,12",laundry,5àsec,2.235024,48.89639,laundry
"12,0",laundry, ,2.243435,48.886024,laundry
"16,9",laundry, ,2.248461,48.893606,laundry
"8,6",landmarks and outdoors,Parvis de la Défense,2.238657475,48.8916967,landmarks and outdoors
"15,4",kindergarten,Saperlipopette,2.246734,48.889498,kindergarten
"15,6",kindergarten,Plumes et Compagnies,2.247306,48.891552,kindergarten
"12,11",kindergarten,Crèche Les Chérubins,2.243878,48.895359,kindergarten
"6,0",kindergarten,Crèche Les 3 Ours,2.234401,48.886057,kindergarten
"5,4",kindergarten,Crèche des Jardins,2.233339,48.889612,kindergarten
"12,1",kindergarten,Crèche des Arcades,2.243509,48.886509,kindergarten
"1,2",kindergarten,Accueil familial Amitié-Rosiers,2.22773,48.88795,kindergarten
"4,1",japanese restaurant,Sushi Times,2.232457548,48.88690658,japanese restaurant
"0,10",japanese restaurant,Kyoto,2.226538775,48.89557831,japanese restaurant
"7,5",italian restaurant,Vapiano,2.236055526,48.89111698,italian restaurant
"15,2",italian restaurant,Pizzeria Andréa,2.24819541,48.88792264,italian restaurant
"12,4",italian restaurant,IT Trattoria,2.243485,48.889989,italian restaurant
"19,2",hotels,Novotel Paris La Défense,2.252674,48.887909,hotels
"18,11",hotels,Mercure,2.25125,48.895797,hotels
"18,11",hotels,Le Timgad,2.253001573,48.89662819,hotels
"16,9",hotels,La Régence,2.248207,48.894283,hotels
"3,0",hotels,Ibis Budget,2.230112,48.88587,hotels
"9,8",hotels,Hilton Paris La Defense,2.238288,48.892843,hotels
"19,2",hotels,H?tel ibis Paris La Défense Centre,2.252929,48.88802,hotels
"16,9",hotels,Adagio Aparthotel La Défense Kleber,2.248671,48.894326,hotels
"17,2",hotel bar,Skyline Bar & Lounge,2.25058794,48.88841646,hotel bar
"1,10",health and medicine,Pharmacie Terrasses de l'Arche,2.227446,48.895124,health and medicine
"0,3",hairdresser,The Pablo,2.227083,48.888458,hairdresser
"0,0",hairdresser,salon de coiffure,2.226901,48.885737,hairdresser
"15,12",hairdresser,Saint Algue,2.24792,48.897105,hairdresser
"11,0",hairdresser,Queen's Hair,2.242411,48.885513,hairdresser
"15,9",hairdresser,M-Ka Coiffures,2.247717,48.893923,hairdresser
"12,0",hairdresser,Line André coiffure,2.242668,48.885894,hairdresser
"8,12",hairdresser,Jean-Claude Biguine,2.237205,48.896972,hairdresser
"14,0",hairdresser,Jean Louis David,2.245641,48.886156,hairdresser
"15,4",hairdresser,Franck Provost,2.247976,48.889509,hairdresser
"3,3",hairdresser,Capelli Studio,2.23128,48.889036,hairdresser
"0,11",hairdresser,Biguine,2.226266,48.895894,hairdresser
"17,11",hairdresser,Alain Pagès,2.249674,48.895638,hairdresser
"18,11",hairdresser, ,2.251676,48.895342,hairdresser
"19,10",hairdresser, ,2.252513,48.894722,hairdresser
"16,4",hair salon,Franck Provost (Franck Provost - Coiffeur Courbevoie),2.249867,48.889706,hair salon
"6,5",grocery store / supermarket,Auchan,2.2350577,48.8912385,grocery store / supermarket
"7,12",greengrocer,Les Jardins de Courbevoie,2.235506,48.896559,greengrocer
"5,0",gastropub,L'Escargot 1903,2.234567776,48.88543655,gastropub
"3,8",garden,Jardins de l'Arche,2.23115855,48.89403754,garden
"16,12",furniture_shop,Mobalpa,2.248389,48.896784,furniture_shop
"4,1",furniture_shop,MC Diffusion,2.232036,48.886731,furniture_shop
"19,12",furniture_shop,Gautier,2.252776,48.896284,furniture_shop
"19,11",furniture_shop,Dreami,2.252359,48.896046,furniture_shop
"6,6",furniture and home store,Søstrene Grene,2.236050661,48.89164203,furniture and home store
"8,5",furniture and home store,Maisons du Monde,2.238032668,48.89070188,furniture and home store
"9,7",furniture and home store,Habitat la Défense,2.239612,48.89267,furniture and home store
"7,5",frozen yogurt shop,So Cream,2.236358,48.891044,frozen yogurt shop
"14,2",french restaurant,Les Canailles,2.246578038,48.88832718,french restaurant
"0,0",french restaurant,Le Relais des Bergères,2.225900888,48.88537185,french restaurant
"6,4",french restaurant,Le Ferney,2.23561228,48.8898544,french restaurant
"17,0",french restaurant,Brasserie le Paris Défense,2.250990272,48.88602493,french restaurant
"7,10",french restaurant,Bistro du Faubourg,2.23745048,48.89618287,french restaurant
"18,3",french restaurant,Bistro d'Édouard,2.252402045,48.88956618,french restaurant
"11,4",fountain,Fontaine Agam,2.24270761,48.8903811,fountain
"16,2",fountain,Bassin Takis,2.25030899,48.88797203,fountain
"18,0",fountain, ,2.250944,48.885706,fountain
"7,5",food court,Le Dôme de la Défense,2.236407101,48.89064453,food court
"3,4",florist,O Fleurs d'à Coté,2.230688,48.889838,florist
"16,12",florist,Monceau Fleurs,2.248544,48.896595,florist
"15,12",fish market,Poissonnerie la Vague (Poissonnerie La Vague),2.24796474,48.89735725,fish market
"0,11",financial service,AXA France Services,2.227746248,48.89641828,financial service
"13,1",fast_food,Trattoria Piccino,2.244724,48.886541,fast_food
"15,3",fast_food,Titanka,2.247914,48.888395,fast_food
"16,11",fast_food,The Place to B,2.248885,48.896165,fast_food
"16,9",fast_food,Tak'Eat,2.249027,48.893794,fast_food
"16,9",fast_food,Sweet T House,2.248101,48.89418,fast_food
"16,11",fast_food,Subway,2.248719,48.895808,fast_food
"0,11",fast_food,Spok,2.226442,48.895809,fast_food
"15,2",fast_food,Pomme de Pain,2.247383,48.888029,fast_food
"17,12",fast_food,Pizza King,2.250277,48.896848,fast_food
"1,2",fast_food,Pizz' Appétit,2.227388,48.887635,fast_food
"15,2",fast_food,Pasta Bella,2.247469,48.888001,fast_food
"17,2",fast_food,Paririe,2.250643,48.887722,fast_food
"19,8",fast_food,O'MG,2.253423,48.892688,fast_food
"16,11",fast_food,McDonald's,2.248763,48.895977,fast_food
"0,3",fast_food,Mag Bucket,2.226742,48.888475,fast_food
"1,3",fast_food,Le Pica,2.22718,48.888506,fast_food
"3,4",fast_food,Le Joker,2.230788,48.889643,fast_food
"0,3",fast_food,Le Dream,2.226963,48.888158,fast_food
"15,9",fast_food,La Gourmandise,2.247794,48.893956,fast_food
"7,6",fast_food,Jour,2.236082,48.891686,fast_food
"6,12",fast_food,Grill Dehliz,2.235278,48.896461,fast_food
"10,12",fast_food,Friends & Fries,2.240532,48.896371,fast_food
"7,6",fast_food,Five Guys,2.236215,48.891571,fast_food
"13,4",fast_food,Exki,2.243987,48.889335,fast_food
"14,8",fast_food,équi Eat,2.246361,48.893359,fast_food
"15,9",fast_food,Dehliz,2.247171,48.893704,fast_food
"17,11",fast_food,Chicken Best,2.249864,48.895503,fast_food
"1,2",fast_food,Burger’ppétit,2.227397,48.887722,fast_food
"18,2",fast_food,Bio Burger,2.250978,48.887757,fast_food
"3,9",fast_food,Big Fernand,2.231193,48.894263,fast_food
"15,2",fast_food,Anka,2.247614,48.888031,fast_food
"19,8",fast_food,Amaken,2.25331,48.892818,fast_food
"15,9",fast_food,Alyssa,2.247427,48.893801,fast_food
"16,12",fast_food, ,2.248646,48.896461,fast_food
"18,11",fast_food, ,2.251264,48.895415,fast_food
"3,7",fast food restaurant,Yin's,2.231105828,48.89278202,fast food restaurant
"6,6",fast food restaurant,Scoozi,2.235157192,48.8919291,fast food restaurant
"0,0",fast food restaurant,Pizza Naim,2.227217122,48.88575253,fast food restaurant
"15,2",fast food restaurant,Ma Bento,2.247739434,48.88843762,fast food restaurant
"15,12",fast food restaurant,Grill d'Istambul,2.247774303,48.89718444,fast food restaurant
"14,4",fast food restaurant,El Karim,2.247172642,48.88981711,fast food restaurant
"7,5",fast food restaurant,Bretzel Love,2.23594802,48.89107702,fast food restaurant
"7,10",fast food restaurant,Aubrac Corner la Defense,2.236935496,48.89585136,fast food restaurant
"15,2",fast food restaurant,Ankka,2.247593,48.88789,fast food restaurant
"8,5",electronics store,Apple Store,2.2371343,48.890078,electronics store
"8,6",drugstore,Pharmacie du Rer,2.238691,48.891796,drugstore
"15,9",doityourself,COPA,2.247671,48.893904,doityourself
"11,4",doctors,Point Vision,2.242467,48.889587,doctors
"11,2",doctors,Emeric Goubely - Ostéopathe Puteaux,2.241654,48.887941,doctors
"13,1",doctors,Elise FERTOUT-AHAROUNI,2.244796,48.886575,doctors
"14,4",doctors,Beno?t Gaultier - Ostéopathe D.O.,2.245871,48.889639,doctors
"15,2",diner,Pico,2.247789843,48.88845494,diner
"8,12",dentist,Thibous,2.237913,48.896545,dentist
"13,1",dentist,Stéphane AHAROUNI,2.244778,48.88658,dentist
"8,12",dentist,SEL Dentaire du Faubourg de l'Arche,2.236979,48.896582,dentist
"8,12",dentist,Fonteneau,2.237915,48.896523,dentist
"10,11",dentist,Dental Santé,2.240729,48.895988,dentist
"7,5",cupcake shop,Berko,2.236507515,48.89109759,cupcake shop
"14,12",creperie,Brother's Crêpes & Café,2.247135937,48.89796206,creperie
"8,5",cosmetics store,Sephora,2.236586,48.890427,cosmetics store
"8,5",cosmetics store,Lush,2.238199573,48.89084687,cosmetics store
"14,0",convenience,Thiriet,2.245817,48.886009,convenience
"16,11",convenience,Naturalia,2.249283,48.89555,convenience
"15,9",convenience,GAM,2.247605,48.893876,convenience
"3,4",convenience,Fruit et Légume,2.230644,48.88989,convenience
"0,3",convenience,Déstockage Alimentaire,2.226866,48.888165,convenience
"1,3",convenience,Chez Baba,2.227546,48.888477,convenience
"5,0",convenience,AZMARKET,2.234022,48.886053,convenience
"4,3",convenience,Alimentation Marcelin Berthelot,2.231371,48.888981,convenience
"10,12",convenience,Alimentation Générale,2.240445,48.896947,convenience
"0,0",convenience, ,2.226678,48.885671,convenience
"12,0",convenience, ,2.243242,48.885936,convenience
"17,0",convenience, ,2.25065,48.885489,convenience
"9,7",computers and electronics retail,Fnac,2.23958508,48.89262532,computers and electronics retail
"1,6",community_centre,Salle polyvalente Espace Gorki,2.228218,48.891102,community_centre
"19,6",community_centre,Espace parents de la ville de Courbevoie,2.253148,48.891168,community_centre
"7,8",college,Exchange College,2.235748,48.892993,college
